"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28"
"2000-09-28",49.31248,0.960938,0.859375,53.499992,46.7338628103812,0.403755631554372,0.189862528073589,0.173547813546613,-7.87394847865619,8.72750799169548,51.88320256,19.312496,19.56248,20.499976,22.312528,22.249976,21.437528,21.31248
"2000-09-29",28.187488,0.517857,0.453125,25.749976,23.8428905078551,0.0103979514669093,0.155185470289219,0.164398012726129,-21.6721807322572,2.64757024690495,51.61351496,19.56248,20.499976,22.312528,22.249976,21.437528,21.31248,20.062504
"2000-10-02",26.687528,0.477679,0.419643,24.250016,23.1819185134353,0.0197695787912112,0.144641053937498,0.163229684100102,-35.0051197128593,-4.8829677450479,51.35945248,20.499976,22.312528,22.249976,21.437528,21.31248,20.062504,20.187496
"2000-10-03",24.937528,0.446429,0.396205,22.312528,22.3211531012109,0.00318593565636986,0.0111178219714969,0.103648115399405,-46.1741694252113,-13.1412080810806,51.06851512,22.312528,22.249976,21.437528,21.31248,20.062504,20.187496,19.062512
"2000-10-04",22.375024,0.424107,0.390625,23.625,24.3697966931993,0.0442338206838761,0.0223964450438192,0.0593851069842716,-53.9929713522202,-21.3115607353085,50.76663984,22.249976,21.437528,21.31248,20.062504,20.187496,19.062512,19.374992
"2000-10-05",23.500008,0.4375,0.392857,22.062488,23.5727355791069,0.00473903461278778,0.0173862636510114,0.0169668435554428,-60.6272920457729,-29.1747069974014,50.48226456,21.437528,21.31248,20.062504,20.187496,19.062512,19.374992,20.249992
"2000-10-06",22.687504,0.409598,0.375,22.18748,23.7874739290627,0.0293658201518353,0.0261128918161666,0.0219652001703326,-65.6277560605087,-36.4653168100228,50.17570208,21.31248,20.062504,20.187496,19.062512,19.374992,20.249992,19.875016
"2000-10-09",22.625008,0.408482,0.377232,21.750008,23.5381940852608,0.01854734398932,0.0175507329179812,0.0203499627950533,-69.634334402878,-43.0991203285939,49.88632712,20.062504,20.187496,19.062512,19.374992,20.249992,19.875016,19.000016
"2000-10-10",21.625016,0.40067,0.366071,20.875008,23.018604655666,0.00958547850817494,0.0191662142164436,0.0209432796501974,-72.8787482876805,-49.0550459204112,49.59132696,20.187496,19.062512,19.374992,20.249992,19.875016,19.000016,18.499992
"2000-10-11",20.125,0.375,0.341518,19.624976,22.2625388121617,0.0137448368339458,0.0139592197771471,0.0168920556371909,-75.637796288951,-54.3715959941192,49.31757656,19.062512,19.374992,20.249992,19.875016,19.000016,18.499992,18.93752
"2000-10-12",20.312488,0.371652,0.348214,20.000008,23.0788546922462,0.0240550039796599,0.0157951064405937,0.016306846811395,-77.8174483971739,-59.0607664747301,49.06788936,19.374992,20.249992,19.875016,19.000016,18.499992,18.93752,18.812528
